District,"Cases Per 100,000","Hospitalisation Per 100,000","Deaths Per 100,000","test per 100,000","tracing per 100,000","treatment per 100,000"
BERAU,259.96,58.37,10.31,13.27,2.86,51.07
KOTA PANGKAL PINANG,249.72,48.24,7.99,21.74,2.13,78.81
KOTA BONTANG,245.65,124.66,10.94,28.68,1,40.92
BELITUNG TIMUR,244.96,9.38,5.41,3.45,0,31.14
KOTA BANDA ACEH,221.93,107.94,6.88,36.63,2.01,66.21
KUTAI BARAT,204.92,15.49,9.31,16.35,1.25,51.75
TANA TIDUNG,204.82,0,0,6.76,1,0
MALINAU,184.03,24.02,9.09,71.72,2,37.09
KOTA TARAKAN,178.37,34.23,4.56,6.85,3.5,51.34
BANGKA TENGAH,156.07,17.56,7.14,30.28,2.24,59.36
SORONG,142.77,5.18,1.07,20.96,2,7.96
POSO,127.18,19.35,4.15,39.23,2,56.09
BANTUL,126.63,16.7,4.19,34.82,2.32,43.33
KOTA BLITAR,123.75,86.5,7.65,34.39,3.81,34.04
SLEMAN,123.2,28.38,5.61,22.45,2.63,35.09
KUTAI TIMUR,119.61,24.49,4.9,13.77,2.08,47.74
BELITUNG,117.52,25.3,7.91,11.68,1.2,53.33
TABALONG,115.57,22.66,1.55,30.16,2.13,70.4
KOTA DENPASAR,114.09,57.85,9.62,19.63,3.04,59.12
MOROWALI UTARA,113.54,14.72,3.76,69.23,0,55.92
KOTAMEDAN,112.95,64.64,1.25,25.14,2.41,51.24
BUOL,112.13,9.46,4.77,11.32,0,36.04
KOTA PALU,112,75.64,4.75,16.79,2.5,55.4
MAHAKAMULU,108.47,35.8,7.48,75,0,7.98
NUNUKAN,107.56,10.94,3.39,2.27,3.35,24.01
KOTA SABANG,106.21,50.03,11.48,82,1,60.1
BANGKA,105.84,52.56,6.23,20.27,2.33,49.8
BOVEN DIGOEL,105.68,46.31,0,16.54,0,53.16
KULON PROGO,103,8.55,4.74,36.57,2.48,30.08
KOTA PEMATANGSIANTAR,101.03,37.24,4.63,15.53,5.87,42.62
KOTA PALANGKARAYA,100.36,105.66,4.81,26.74,0,42.33
KOTA KUPANG,98.42,30.21,0.87,14.71,2.78,35.68
BANGLI,97.84,40.07,5.65,23.75,3.69,53.26
KOTA PADANG PANJANG,97.06,41.6,7.19,25,2,33.54
TANA TORAJA,96.44,24.75,0,32.77,3.05,32.75
KOTA CIREBON,94.94,16.38,0,9.8,9.83,13.66
KOTA TOMOHON,94.46,72.45,6.42,50.3,2.67,55.63
KOTA BANJARBARU,93.97,33.12,7.31,53.55,2.81,59.2
TANAH LAUT,93.87,30.55,2.3,28.15,3.35,71.91
KOTA BALIKPAPAN,93.09,50.75,4.51,10.17,2.31,44.53
KOTAMADIUN,92.71,142.96,10.11,29.39,15.2,52.68
KOTA BUKITTINGGI,91.6,57.05,2.2,24.77,2.45,39.93
KOTA PEKANBARU,90.4,48.45,3.45,17.61,7.79,41.44
BANGGAI,86.81,16.81,3.63,21.12,0,47.69
MINAHASA SELATAN,86.62,23.19,0.95,37.04,4.38,50.52
TOJO UNA UNA,85.17,14.64,2.56,0,0,30.08
PULAU TALIABU,84.88,3.69,0,19.18,0,25
TABANAN,83.48,30.31,5.98,16.28,4.1,52.18
SUMBA TENGAH,83.1,6.13,6.7,10,5.33,26.89
KEPULAUANMENTAWAI,81.53,5.46,0,11.84,1,21.14
NATUNA,79.42,11.88,3.72,18.67,3.8,36.81
BANGKA SELATAN,79.12,10.76,7.15,58,2.5,38.92
KUTAI KARTANEGARA,78.33,53.01,3.83,14.67,3,61.63
GIANYAR,77.74,38.69,5.16,12.31,3.56,61.2
PENAJAM PASER UTARA,75.88,14.33,8.78,8.8,3.25,39.41
BANGKA BARAT,75.49,11.65,5.16,20.96,4.24,24.86
ACEH BESAR,74.59,1.86,4.18,53.57,4.09,80
BARITO SELATAN,71.13,17.45,5.75,74.77,0,37.95
BADUNG,70.85,37.89,5.34,14.22,4.93,66.63
LINGGA,70.84,5.69,12.18,19.05,0,11.69
SIGI,69.41,5.84,3.72,5.45,0,41.6
PASER,68.68,14.64,4.23,18.26,2.72,50.09
BENGKAYANG,68.27,5.12,0.38,46.24,3.47,41.96
KOTA PADANG,67.85,48.13,1.63,14.12,2.77,45.53
KOTA SAWAHLUNTO,67.27,13.63,0,30.81,2.08,34.86
KOTA SOLOK,67.19,58.55,0,28.74,0,66.89
HULU SUNGAI SELATAN,38.36,27.34,0.42,54.26,2.55,34.5
PURWOREJO,38.25,10.07,2.23,30.03,2.51,19.39
MAGETAN,38.2,11.34,7.23,31.83,5.05,33.71
ACEH TENGAH,38.12,20.66,1.86,38.78,3.8,46.77
KOTA SAMARINDA,38.02,27.03,1.4,11.54,2,47.26
KOTA SURABAYA,37.72,25.94,3.29,14.17,18.39,19.94
ROTE NDAO,37.66,3,0,8.65,0,27.86
HALMAHERA UTARA,37.44,2.27,0.51,64.71,1,16.4
AGAM,36.94,3.79,1.2,28.59,2.49,27.14
TANAH BUMBU,36.92,15.82,5.06,20.82,2.17,53.03
LEBONG,36.84,1.35,0,95.24,0,8.73
KEPULAUANMERANTI,36.49,10.43,2.12,39.29,1.5,56.33
KETAPANG,36.13,4.24,2.28,17.2,2.39,23.71
KOTAMAGELANG,36.12,71.77,25.45,20.28,6,16.75
KOTA BENGKULU,35.98,18.58,0.53,14.99,2,27.66
BOYOLALI,35.95,5.32,0.71,57.49,2.48,14.54
KAMPAR,35.91,2.96,3.06,35.58,5.07,41.5
PULANG PISAU,35.87,20.28,0,50,0,22.39
KAPUAS,35.73,5.54,2.47,7.45,2,34.14
KOTA KEDIRI,35.36,51.35,5.15,31.84,4.64,27.15
MANGGARAI,35.35,8.17,0.57,29.82,1,43.64
FLORES TIMUR,35.02,1.37,0.38,8.33,0,9.65
KOTA PROBOLINGGO,34.79,12.54,3.31,17.5,2.95,23.12
KOTA JAYAPURA,34.6,35.02,0,9.7,2.75,35.29
KOTA SALATIGA,34.36,22.31,2.02,34.82,2.21,17.12
TAPIN,34.25,13.05,3.63,56.86,3,55.87
HULU SUNGAI UTARA,34.09,6.91,4.63,32.04,2.27,36.51
KOTA DEPOK,33.45,10.56,1.77,12.66,3.3,21.73
MAMASA,33.29,2.11,1.23,0,3.04,22.86
SERDANG BEDAGAI,33.26,9.25,0,36.34,3.67,41.61
KOTA SINGKAWANG,33.15,13.15,0,18.35,3.64,8.94
KOTA PONTIANAK,33.09,27.8,1.37,11.2,3.19,28.48
KOTA BANJAR,32.93,17.15,1.59,27.8,3.16,45.47
TRENGGALEK,32.74,21.42,6,27.59,9.51,37
MADIUN,32.68,18.34,4.67,26.67,14.01,28.97
KATINGAN,32.59,7.11,0.57,58.62,0,12.91
KOTA SERANG,32.48,8.51,0.42,12.06,0,22.05
TANAH DATAR,32.3,5.27,0.86,22.04,2.79,38.39
LAMPUNG BARAT,32.2,7.81,0.33,60.34,2.2,45.28
MEMPAWAH,32.16,9.94,1.5,44,2.89,40.88
TANJUNG JABUNG BARAT,32.07,9.33,2.38,62.83,2.43,35.31
MALAKA,31.86,3.25,0.51,0,0,29.22
GAYO LUES,31.57,12.02,1.05,68.57,3,30.89
KOTA JAKARTA SELATAN,31.47,26.18,0.78,6.05,10,23.87
KOTA JAKARTA PUSAT,31.45,51.07,0.88,8.63,5.55,19.88
BARITO KUALA,31.39,3.9,0.95,63.33,2.5,29.97
