Kabupaten/ Kota,Measure Names,provinsi,Tanggal,Measure Values
BURU,Treatment (%/minggu),MALUKU,31/08/2021,"7,142,857"
BUTON SELATAN,Treatment (%/minggu),SULAWESI TENGGARA,31/08/2021,0
DEIYAI,Treatment (%/minggu),PAPUA,31/08/2021,
DOGIYAI,Treatment (%/minggu),PAPUA,31/08/2021,
INTAN JAYA,Treatment (%/minggu),PAPUA,31/08/2021,0
KEPULAUAN ARU,Treatment (%/minggu),MALUKU,31/08/2021,0
KONAWE KEPULAUAN,Treatment (%/minggu),SULAWESI TENGGARA,31/08/2021,0
MAMBERAMO RAYA,Treatment (%/minggu),PAPUA,31/08/2021,
MANOKWARI SELATAN,Treatment (%/minggu),PAPUA BARAT,31/08/2021,0
MAYBRAT,Treatment (%/minggu),PAPUA BARAT,31/08/2021,
PEGUNUNGAN ARFAK,Treatment (%/minggu),PAPUA BARAT,31/08/2021,
PUNCAK JAYA,Treatment (%/minggu),PAPUA,31/08/2021,"33,333,333"
MUNA,Treatment (%/minggu),SULAWESI TENGGARA,31/08/2021,"3,571,429"
KEPULAUAN SULA,Treatment (%/minggu),MALUKU UTARA,31/08/2021,0
BUTON TENGAH,Treatment (%/minggu),SULAWESI TENGGARA,31/08/2021,0
MANDAILING NATAL,Treatment (%/minggu),SUMATERA UTARA,31/08/2021,"7,792,208"
PANIAI,Treatment (%/minggu),PAPUA,31/08/2021,"44,047,619"
YALIMO,Treatment (%/minggu),PAPUA,31/08/2021,
BURU SELATAN,Treatment (%/minggu),MALUKU,31/08/2021,
PADANG LAWAS UTARA,Treatment (%/minggu),SUMATERA UTARA,31/08/2021,"6,666,667"
PUNCAK,Treatment (%/minggu),PAPUA,31/08/2021,
NIAS SELATAN,Treatment (%/minggu),SUMATERA UTARA,31/08/2021,"2,380,952"
KUDUS,Treatment (%/minggu),JAWA TENGAH,31/08/2021,"5,221,239"
PEKALONGAN,Treatment (%/minggu),JAWA TENGAH,31/08/2021,"183,391"
OGAN KOMERING ILIR,Treatment (%/minggu),SUMATERA SELATAN,31/08/2021,"36,212,625"
SAROLANGUN,Treatment (%/minggu),JAMBI,31/08/2021,"7,008,086"
SERAM BAGIAN BARAT,Treatment (%/minggu),MALUKU,31/08/2021,"3,846,154"
GROBOGAN,Treatment (%/minggu),JAWA TENGAH,31/08/2021,"4,069,437"
SERAM BAGIAN TIMUR,Treatment (%/minggu),MALUKU,31/08/2021,"0,793651"
KEPULAUAN TANIMBAR,Treatment (%/minggu),MALUKU,31/08/2021,"0,649351"
MALUKU BARAT DAYA,Treatment (%/minggu),MALUKU,31/08/2021,0
EMPAT LAWANG,Treatment (%/minggu),SUMATERA SELATAN,31/08/2021,"5,263,158"
KEPULAUAN SELAYAR,Treatment (%/minggu),SULAWESI SELATAN,31/08/2021,"13,492,063"
BIMA,Treatment (%/minggu),NTB,31/08/2021,"7,857,143"
MUSI RAWAS UTARA,Treatment (%/minggu),SUMATERA SELATAN,31/08/2021,"41,428,571"
BUTON UTARA,Treatment (%/minggu),SULAWESI TENGGARA,31/08/2021,"14,285,714"
KAUR,Treatment (%/minggu),BENGKULU,31/08/2021,"2,197,802"
KOTA SUNGAI PENUH,Treatment (%/minggu),JAMBI,31/08/2021,
BENGKULU SELATAN,Treatment (%/minggu),BENGKULU,31/08/2021,"11,337,868"
HALMAHERA TENGAH,Treatment (%/minggu),MALUKU UTARA,31/08/2021,0
NDUGA,Treatment (%/minggu),PAPUA,31/08/2021,
MALUKU TENGAH,Treatment (%/minggu),MALUKU,31/08/2021,"26,363,636"
TULANG BAWANG,Treatment (%/minggu),LAMPUNG,31/08/2021,"9,752,747"
PEGUNUNGAN BINTANG,Treatment (%/minggu),PAPUA,31/08/2021,0
KOTA TUAL,Treatment (%/minggu),MALUKU,31/08/2021,"20,899,471"
LAMPUNG UTARA,Treatment (%/minggu),LAMPUNG,31/08/2021,"32,380,952"
